id,full_name,first_name,last_name,weight,height_inches,college,draft_year,position,position_group,section,forty,vertical,bench,broad,threecone,shuttle
4047646.0,A.J. Brown,A.J.,Brown,226,72,Ole Miss,2019,WR,WR,O,4.49,36.5,19.0,120.0,,
3728248.0,Albert Huggins,Albert,Huggins,305,75,Clemson,2019,DL,DL,D,5.12,25.5,35.0,101.0,7.84,4.84
3917668.0,Alec Ingold,Alec,Ingold,242,73,Wisconsin,2019,FB,RB,O,4.89,34.0,16.0,116.0,7.35,4.32
3886636.0,Alex Barnes,Alex,Barnes,226,72,Kansas State,2019,RB,RB,O,4.59,38.5,34.0,126.0,6.95,4.1
4048244.0,Alexander Mattison,Alexander,Mattison,221,71,Boise State,2019,RB,RB,O,4.67,35.0,22.0,127.0,7.13,4.29
3117249.0,Alijah Holder,Alijah,Holder,191,73,Stanford,2019,CB,DB,D,4.6,36.0,9.0,121.0,6.7,4.15
3932433.0,Alize Mack,Alize,Mack,249,76,Notre Dame,2019,TE,TE,O,4.7,36.0,22.0,120.0,7.27,4.34
4036134.0,Amani Hooker,Amani,Hooker,210,71,Iowa,2019,S,DB,D,4.48,37.0,14.0,123.0,6.81,4.1
3116175.0,Amani Oruwariye,Amani,Oruwariye,205,74,Penn State,2019,CB,DB,D,4.47,36.5,17.0,120.0,6.82,4.16
3127264.0,Andre Dillard,Andre,Dillard,315,77,Washington State,2019,OT,OL,O,4.96,29.0,24.0,118.0,7.44,4.4
,Andrew Van ginkel,Andrew,Van,241,75,Wisconsin,2019,OLB,LB,D,,38.0,17.0,123.0,6.89,4.14
3918331.0,Andrew Wingard,Andrew,Wingard,209,72,Wyoming,2019,S,DB,D,4.56,36.5,9.0,121.0,7.08,4.2
3914328.0,Andy Isabella,Andy,Isabella,188,69,UMass,2019,WR,WR,O,4.31,36.5,15.0,121.0,6.95,4.15
4049301.0,Anthony Johnson,Anthony,Johnson,209,74,Buffalo,2019,WR,WR,O,,32.5,18.0,122.0,7.12,
3894856.0,Anthony Nelson,Anthony,Nelson,271,79,Iowa,2019,DL,DL,D,4.82,35.5,18.0,118.0,6.95,4.23
3145005.0,Anthony Nelson,Anthony,Nelson,271,79,Iowa,2019,DL,DL,D,4.82,35.5,18.0,118.0,6.95,4.23
4043161.0,Antoine Wesley,Antoine,Wesley,206,76,Texas Tech,2019,WR,WR,O,,37.0,6.0,117.0,7.07,4.26
3128685.0,Armon Watts,Armon,Watts,300,77,Arkansas,2019,DL,DL,D,5.23,,,,,
